IP Prefix,Country,Region Code,City,Postal Code,ISP/Organization
154.80.121.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.122.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.123.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.124.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.125.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.126.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.80.127.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.240.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.241.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.242.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.243.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.244.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.245.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.246.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.81.247.0/24,Pakistan,PK-PB,Faisalabad,38000,Pakistan Mobile Communication Limited
154.198.96.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.97.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.98.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.99.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.100.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.101.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.102.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.103.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.104.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.105.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.106.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.107.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.108.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.109.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.110.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.111.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.112.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.113.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.114.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.115.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.116.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.117.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.118.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.119.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.120.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.121.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.122.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.123.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.124.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.125.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.126.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.198.127.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.91.160.0/24,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.91.161.0/24 ,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.91.162.0/24 ,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
154.91.163.0/24 ,Pakistan,PK-SD,Karachi,74000,Pakistan Mobile Communication Limited
